age,industry,title,context,salary,benefits,currency,currency-other,income_context,country,us_state,city,exp_total,exp_field,education,gender,race,,,
25-34,Education (Higher Education),Associate Director of Community-Engaged Learning,"I specifically work with faculty, but broadly my job “type” fits under community engagement/service learning","45,000",NA,USD,,Year-round position ,United States,Michigan,This would probably out me ,5-7 years,2 - 4 years,PhD,Woman,White,,,
55-64,Business or Consulting,Lead designer,,"65,000",0,USD,,,US,Rhode Island,Providence,31 - 40 years,31 - 40 years,College degree,Woman,White,,,
25-34,Agriculture or Forestry,Research manager ,,"94,000",14000,USD,,I have a PhD and am responsible for leading a team to test products ,USA,Colorado,Denver,11 - 20 years,8 - 10 years,PhD,Woman,Asian or Asian American,,,
35-44,Computing or Tech,Operations Manager,,69600,NA,USD,,,Unites States,California,Camarillo ,11 - 20 years,5-7 years,College degree,Woman,White,,,
25-34,"Marketing, Advertising & PR",marketing communications consultant,,"73,000",5000,USD,,,US,Illinois,Chicago,8 - 10 years,5-7 years,College degree,Woman,White,,,
25-34,Computing or Tech,Senior Software Engineer,,145000,13000,USD,,,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman,White,,,
35-44,Law,Assistant Public Defender ,,80000,0,USD,,,United States,Georgia,Douglasville ,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Another option not listed here or prefer not to answer,,,
25-34,Utilities & Telecommunications,Senior Well Engineer (CWI),Petroleum Engineer is generally the broad category,214800,21480,USD,,No bonus due to COVID (only 401k match). Typical bonus is 20%.,USA,Texas,Houston,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
35-44,Biotech,Molecular biologist,,70000,3200,USD,,,Usa,California,Davis,11 - 20 years,11 - 20 years,College degree,Woman,Another option not listed here or prefer not to answer,,,
35-44,Education (Higher Education),Director of Philanthropy,Fundraising,"78,000",NA,USD,,,US,Kentucky,Lexington,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
55-64,Computing or Tech,Software Engineer,,"119,600",0,GBP,,,UK,,n/a,31 - 40 years,31 - 40 years,College degree,Man,White,,,
35-44,Computing or Tech,Technical Writer,,"50,000",2000,USD,,,United States ,Texas,Austin,21 - 30 years,11 - 20 years,College degree,Woman,White,,,
45-54,Media & Digital,Web Producer,,"88,000",88000,USD,,,US,California,San Francisco ,21 - 30 years,5-7 years,Some college,Woman,White,,,
45-54,Government and Public Administration,Benefits officer,,"62,150",4000,CAD,,,Canada,,Edmonton,21 - 30 years,2 - 4 years,College degree,Woman,White,,,
35-44,"Accounting, Banking & Finance",Administrative Assistant,,"41,600",1600,USD,,Additional bonus is approximate and depends on workload; I get a percentage of my financial advisor's quarterly compensation.,USA,Minnesota,Minneapolis,11 - 20 years,1 year or less,College degree,Woman,White,,,
45-54,Engineering or Manufacturing,IT Manager,,"120,000",8400,USD,,Bonus up to 7%,USA,Michigan,Plymouth,21 - 30 years,21 - 30 years,College degree,Woman,White,,,
25-34,Engineering or Manufacturing,Continuous Improvement Manager,,"102,000",0,USD,,,USA,Indiana,Fortville,5-7 years,5-7 years,College degree,Woman,White,,,
45-54,Business or Consulting,Executive Search Consultant,,"175,000",60000,CAD,,,Canada,,Toronto,21 - 30 years,21 - 30 years,College degree,Woman,White,,,
35-44,Law,Counsel,,255000,5000,USD,,,USA,New York,New York City,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
25-34,Law,M&A Manager ,"I'm a trained lawyer (JD/Tax LLM); I work for a public accounting firm (outside the B4, but one of the bigger ones) in the M&A group",160000,6000,USD,,,US,Illinois,Chicago,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
55-64,Health care,Proposal Manager,Supporting sales efforts by managing the process of responding to requests for proposal (RFPs).,"79,880",2000,USD,,,USA,Pennsylvania,Philadelphia,41 years or more,21 - 30 years,Master's degree,Woman,White,,,
25-34,Engineering or Manufacturing,Engineer in Training (Civil),,"67,080",NA,USD,,,USA,Iowa,Des Moines,2 - 4 years,2 - 4 years,Master's degree,Woman,White,,,
25-34,Nonprofits,Assistant Editor,,"48,000",NA,CAD,,,Canada,,Ottawa,5-7 years,5-7 years,College degree,Non-binary,White,,,
45-54,Computing or Tech,Desktop Supporg,,"425,000",NA,USD,,,Usa,Nevada,Reno,5-7 years,2 - 4 years,College degree,Woman,White,,,
35-44,Nonprofits,Budget Manager,,"104,000",0,USD,,,USA,New York,New York City,11 - 20 years,1 year or less,Master's degree,Man,White,,,
35-44,Engineering or Manufacturing,Chief Metallurgist,,130000,25000,USD,,,United States,Arizona,Bagdad,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
35-44,Law,Senior Event Planner,,"54,500",3500,USD,,,United States,Virginia,Richmond,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
25-34,Recruitment or HR,Director of Corporate Communications,Director of comms department for large public company; overseeing internal/external/PR/content,"125,000",30000,USD,,Bonus based on company performance,United States,Florida,Boca Raton,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
35-44,Computing or Tech,Principal Dev Lead,Principal Software Engineer / Engineering Manager,218400,2500,USD,,,United States of America,Oregon,Portland,11 - 20 years,11 - 20 years,College degree,Man,White,,,
35-44,Computing or Tech,Senior DevOps Engineer,,190000,NA,USD,,,USA,New York,New York,11 - 20 years,11 - 20 years,High School,Man,White,,,
45-54,Computing or Tech,Sr development Manager,,"175,000",175000,USD,,,US,Colorado,Denver,21 - 30 years,11 - 20 years,College degree,Man,White,,,
55-64,Utilities & Telecommunications,Accounts Payable Supervisor,,90000,0,USD,,,USA,Florida,Tampa,31 - 40 years,21 - 30 years,College degree,Woman,White,,,
25-34,Computing or Tech,Senior Engineer,,"147,000",44700,USD,,,United States,Washington,"Seatle, WA",11 - 20 years,11 - 20 years,College degree,Man,White,,,
25-34,Computing or Tech,Senior Product Manager,,"175,000",50000,USD,,,USA,New York,New York City,11 - 20 years,5-7 years,College degree,Woman,White,,,
35-44,Pharmaceuticals,Senior Administrative Assistant ,,"38,800",4000,GBP,,,UK,,"Canbridge, UK",8 - 10 years,2 - 4 years,College degree,Woman,White,,,
25-34,Health care,"Senior Associate, Finance",,120000,17500,USD,,,United States,New York,New York,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,,,
45-54,library,librarian,,"49,500",0,USD,,,USA,New Mexico,Albuquerque,21 - 30 years,21 - 30 years,Master's degree,Woman,White,,,
25-34,"Marketing, Advertising & PR",Director of Communications,,"64,000",NA,USD,,,United States,Nebraska,Omaha,8 - 10 years,8 - 10 years,College degree,Woman,White,,,
35-44,Education (Higher Education),Associate Research Professor,Non-tenure track faculty in a STEM field,"110,000",10000,USD,,,United States,North Carolina,Raleigh,11 - 20 years,8 - 10 years,PhD,Woman,White,,,
35-44,Engineering or Manufacturing,Manager,,"85,000",NA,EUR,,,Belgium ,,Brussels,11 - 20 years,11 - 20 years,Master's degree,Man,White,,,
25-34,"Marketing, Advertising & PR",Account Supervisor,,85000,0,USD,,,United States,Illinois,Chicago,5-7 years,5-7 years,College degree,Woman,White,,,
25-34,"Accounting, Banking & Finance",Senior Editor,,"119,000",10000,USD,,,USA,California,San Francisco,11 - 20 years,8 - 10 years,Master's degree,Other or prefer not to answer,Another option not listed here or prefer not to answer,,,
35-44,Education (Primary/Secondary),High School Teacher,,"88,895",0,CAD,,,Canada,,Regina,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
25-34,Government and Public Administration,Environmental Health Specialist IV,Supervisor of health inspectors,"79,719",0,USD,,,United States,Nevada,Carson City,8 - 10 years,5-7 years,College degree,Woman,White,,,
35-44,Hospitality & Events,Account Executive ,,110000,20000,USD,,,USA,Washington,Seattle,21 - 30 years,11 - 20 years,Some college,Man,,,,
55-64,Agriculture or Forestry,Regional sales leader,,"140,000",30000,CAD,,,Canada,,Regina,41 years or more,21 - 30 years,High School,Man,White,,,
45-54,Education (Higher Education),Professor,,"61,000",NA,USD,,,USA,Kentucky,Morehead,21 - 30 years,21 - 30 years,PhD,,White,,,
25-34,Computing or Tech,Senior Software Engineer,,"165,000",NA,USD,,,United States,California,San Francisco,11 - 20 years,8 - 10 years,Some college,Woman,"Hispanic, Latino, or Spanish origin, White",,,
35-44,Education (Higher Education),Education Administration Coordinator,,"53,248",0,USD,,,United States,Minnesota,Rochester,11 - 20 years,8 - 10 years,Some college,Woman,White,,,
45-54,Recruitment or HR,Human resource manager,,"83,000",8000,USD,,,Usa,Illinois,Chicago,11 - 20 years,8 - 10 years,Master's degree,Woman,Black or African American,,,
25-34,Health care,Nurse care manager (BSN),Mental health pays lower generally.,65000,NA,USD,,,United States,Oklahoma,Oklahoma City,5-7 years,5-7 years,College degree,Woman,White,,,
35-44,Transport or Logistics,Logistics Coordinator,,38771,2400,USD,,,United States,Missouri,Hannibal,8 - 10 years,2 - 4 years,College degree,Woman,White,,,
45-54,Nonprofits,Rabbi,,"150,000",NA,USD,,,United States ,Illinois,Chicago ,21 - 30 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
35-44,Media & Digital,Editor,,"117,000",NA,USD,,,USA,New York,New York,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
25-34,Art & Design,Graphic Designer,,53800,2000,USD,,,USA,Maryland,Columbia ,5-7 years,2 - 4 years,College degree,Woman,White,,,
18-24,Business or Consulting,Forecasting Analyst,Work for a large retail company to help them forecast demand.,"55,000",5500,CAD,,,Canada,,Toronto,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,,,
35-44,Computing or Tech,Firmware Engineer,,"187,000",200000,USD,,,United States,Washington,"Puyallup, WA",11 - 20 years,8 - 10 years,College degree,Man,White,,,
35-44,Nonprofits,Director ,Research,76000,NA,USD,,,USA ,New York,New York ,8 - 10 years,8 - 10 years,Master's degree,Woman,White,,,
55-64,Government and Public Administration,Senior Manager,,87000,0,USD,,,USA,Montana,HELENA,21 - 30 years,21 - 30 years,College degree,Woman,White,,,
25-34,Social Work,Career Development Specialist,,38000,NA,USD,,,Usa,New Mexico,Albuquerque,11 - 20 years,2 - 4 years,College degree,Woman,White,,,
35-44,Computing or Tech,Principle Software Engineer,,"150,000",50000,USD,,,USA,Oregon,Portland,11 - 20 years,11 - 20 years,High School,Man,White,,,
25-34,Education (Higher Education),Media Relations Director,,"61,000",0,USD,,,USA,Minnesota,Mankato,8 - 10 years,5-7 years,College degree,Man,White,,,
25-34,Computing or Tech,Risk Operations Analyst,,"73,000",7000,USD,,,United States,Washington,Seattle,8 - 10 years,5-7 years,Master's degree,Woman,White,,,
25-34,Education (Primary/Secondary),Program Assistant,,"31,657",NA,USD,,,USA,Texas,60k Small City,5-7 years,5-7 years,Some college,Woman,White,,,
45-54,Computing or Tech,Software specialist,,"30,000",NA,EUR,,,Finland,,NA,11 - 20 years,5-7 years,Master's degree,Woman,White,,,
18-24,Entertainment,Audio engineer,,"27,000",0,USD,,,USA,Washington,Seattle,8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American,,,
25-34,Computing or Tech,Graduate software developer,,"26,000",0,GBP,,,UK,,Glasgow,2 - 4 years,1 year or less,College degree,Woman,White,,,
25-34,Social Work,Clinical Case Manager ,LMSW,"54,000",0,USD,,,United States,Texas,Austin,5-7 years,2 - 4 years,Master's degree,Woman,White,,,
25-34,Government and Public Administration,Senior Communications Advisor,,"69,422",0,CAD,,,Canada,,Victoria,5-7 years,5-7 years,College degree,Woman,White,,,
35-44,Government and Public Administration,Public Safety Auditor,,"112,016",NA,USD,,,U.S.,Washington,Seattle,11 - 20 years,5-7 years,Master's degree,Man,White,,,
25-34,Art & Design,Character designer,,"65,000",NA,CAD,,,Canada,,Toronto,5-7 years,5-7 years,College degree,Woman,Asian or Asian American,,,
25-34,Law,Sr. In house counsel,title insurance claims work - in-house counsel - Toronto Canada,"129,000",20000,CAD,,,Canada,,Toronto,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
35-44,Engineering or Manufacturing,Strategic Sourcing Manager,,"120,000",20000,USD,,Bonus depends on company performance and targets,United States,California,Torrance,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
25-34,Computing or Tech,Security Engineer 2,work in Security operations center responding to general security alerts and escalations,72800,9000,USD,,,USA,Georgia,Alpharetta,8 - 10 years,8 - 10 years,Some college,Man,White,,,
25-34,Education (Higher Education),Assistant Librarian,,53500,NA,USD,,,United States,New York,Ithaca,8 - 10 years,5-7 years,Master's degree,Woman,White,,,
35-44,Sales,Senior Applications / Inside Sales,Lighting/construction sales support,"60,000",5000,USD,,,United States,California,San Diego ,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
25-34,Government and Public Administration,Health program specialist I,Analyst for healthcare dept in corrections,84960,0,USD,,,USA,California,Tehachapi,8 - 10 years,8 - 10 years,College degree,Woman,White,,,
35-44,Engineering or Manufacturing,Staff Mechanical Engineer,,"120,000",0,USD,,,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Man,Asian or Asian American,,,
55-64,Computing or Tech,Director of Review Solutions,,"120,000",3500,USD,,"My bonus varies, depending on personal performance and overall company earnings.  It is a complicated formula that only the dwarves at Gringotts understand.",USA,New York,"Merrick - my home, but we do have an office in NYC.  Main office is in Seattle, WA.",31 - 40 years,21 - 30 years,High School,Woman,White,,,
25-34,Computing or Tech,Senior scientist,,"108,500",NA,USD,,,United States,California,San Diego,5-7 years,5-7 years,PhD,Man,"Hispanic, Latino, or Spanish origin, White",,,
25-34,Computing or Tech,Project Manager,,128000,12800,USD,,,USA,Michigan,Madison Heights,11 - 20 years,8 - 10 years,Master's degree,Woman,White,,,
35-44,Government and Public Administration,Attorney,,"130,000",2500,USD,,,United States,Illinois,Peoria,11 - 20 years,11 - 20 years,PhD,Woman,White,,,
25-34,Media & Digital,Editor,Independent arts publication,"75,712",NA,AUD/NZD,,Part-time (24 hrs/week)—actual yearly income is $45427. Incl 4 wks paid leave.,Australia,,Melbourne,5-7 years,2 - 4 years,Master's degree,Woman,White,,,
25-34,Nonprofits,Programs Coordinator,,"39,520",1200,USD,,,United States,Idaho,Boise,2 - 4 years,2 - 4 years,College degree,Man,White,,,
25-34,Computing or Tech,Sales Engineer,,"120,000",10000,USD,,,USA,Florida,Orlando,8 - 10 years,8 - 10 years,Master's degree,Man,White,,,
25-34,Education (Higher Education),Systems Librarian,,"56,000",NA,USD,,,United Statees,Wisconsin,Milwaukee,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
35-44,Health care,Recovery Worker,Mental health ,"18,642",100,GBP,,,UK,,"Birmingham, England",5-7 years,2 - 4 years,Master's degree,Woman,White,,,
35-44,"Accounting, Banking & Finance",Accounts Payable ,,"41,000",0,USD,,,United States,Texas,Dallas,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",,,
45-54,Property or Construction,Virtual Bookkeeper/Admin,I work remotely as a bookkeeper and office admin for a general contractor,"41,600",NA,USD,,,USA,Texas,"Company is in San Antonio, I live 3 hours away in a rural community",21 - 30 years,21 - 30 years,Some college,Woman,White,,,
25-34,Health care,Research associate,,"72,000",7000,USD,,,US,Maryland,Rockville,2 - 4 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",,,
55-64,Computing or Tech,software engineer,,112000,16000,USD,,,usa,Oregon,portland,31 - 40 years,31 - 40 years,Master's degree,Woman,White,,,
35-44,"Accounting, Banking & Finance",Credit Analyst,,"82,000",5000,CAD,,,Canada,,Toronto,8 - 10 years,2 - 4 years,College degree,Man,White,,,
35-44,Nonprofits,Programs manager,"
","75,000",NA,USD,,,USA,New York,New York,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
35-44,Hospitality & Events,Hotel Sales Manager,,"66,950",0,USD,,,USA,Indiana,Indianapolis,8 - 10 years,5-7 years,College degree,Woman,White,,,
35-44,Media & Digital,"Director of Programming, Senior Editor",,"173,500",20000,USD,,,United States,New York,New York,21 - 30 years,11 - 20 years,College degree,Woman,White,,,
25-34,Computing or Tech,IT Business Analyst,,"80,000",NA,USD,,,USA,Nebraska,Omaha,8 - 10 years,5-7 years,College degree,Woman,White,,,
35-44,Engineering or Manufacturing,Director of Marketing,,"167,000",77000,USD,,Additional compensation is roughly half discretionary bonus and the other half is stock options/RSUs,USA,Michigan,Prefer not to answer,11 - 20 years,8 - 10 years,Master's degree,Woman,Asian or Asian American,,,
25-34,Business or Consulting,Survey Methodologist,,80000,NA,USD,,,USA,Maryland,Rockville,5-7 years,5-7 years,Master's degree,Woman,White,,,
35-44,Engineering or Manufacturing,Staff Engineer,Mechanical Aerospace. Non managerial equivalent to Program Engineer,87166,NA,USD,,,USA,North Carolina,Greensboro,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
25-34,Engineering or Manufacturing,Maintenance technician ,,45760,24180,USD,,,Usa,Georgia,Adairsville,8 - 10 years,2 - 4 years,High School,Man,White,,,
35-44,Health care,Hospital staff pharmacist,Staff pharmacist in inpatient hospital - no residency required,"125,819",NA,USD,,$55.99 base hourly plus $4.50 shift differential,USA,Pennsylvania,Philadelphia ,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
35-44,Retail,Physical Inventory and Inventory Control Supervisor ,,"47,000",4700,USD,,,United States ,Indiana,Indianapolis ,8 - 10 years,5-7 years,Some college,Woman,White,,,
25-34,Computing or Tech,Sales Engineer,"Was a software engineer, now I’m the technical sales resource ",110000,40000,USD,,"40000 is commission, i could make more or less than",USA,New York,Manhattan,2 - 4 years,1 year or less,College degree,Woman,"Hispanic, Latino, or Spanish origin",,,
35-44,"Accounting, Banking & Finance",Senior Relationship Manager,,124000,37200,USD,,,United States,Colorado,Denver,11 - 20 years,11 - 20 years,Master's degree,Man,White,,,
35-44,Nonprofits,Human Resources Business Partner,,"75,000",NA,USD,,,United States,Nevada,Carson City,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
35-44,Computing or Tech,Vice President,Head of a Centre of Excellence with 45 employees,"50,000",12000,EUR,,,Latvia,,Riga,11 - 20 years,11 - 20 years,Master's degree,Man,White,,,
45-54,Computing or Tech,Senior Counsel,,"250,000",300000,USD,,,USA,California,San Francisco,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
25-34,Government and Public Administration,Project Manager,,"100,000",NA,AUD/NZD,,,Australia,,Sydney,8 - 10 years,2 - 4 years,PhD,Woman,White,,,
35-44,"Marketing, Advertising & PR",Communications Specialist,,"65,000",NA,CAD,,,Canada,,"Toronto, Ontario",21 - 30 years,5-7 years,College degree,Man,White,,,
35-44,Research,Executive assistant ,,"36,000",NA,GBP,,,United Kingdom ,,Oxford,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
25-34,Recruitment or HR,Business Support,,31000,3000,GBP,,,UK,,London ,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
25-34,Engineering or Manufacturing,Process Engineer,,131000,0,USD,,,United Sates,Texas,Corpus Christi,8 - 10 years,8 - 10 years,College degree,Woman,White,,,
25-34,Computing or Tech,Project manager,,"97,000",6000,USD,,,USA,Pennsylvania,Philadelphia,5-7 years,5-7 years,College degree,Woman,White,,,
35-44,"Accounting, Banking & Finance",Sr Payroll Specialist,,"75,000",0,USD,,,U.S.,Utah,Draper,11 - 20 years,8 - 10 years,College degree,Woman,Another option not listed here or prefer not to answer,,,
25-34,Sales,Account Manager,,"80,000",40000,USD,,,US ,Texas,Austin,5-7 years,5-7 years,College degree,Woman,White,,,
25-34,Aerospace ,Communications Specialist,,"107,000",5000,USD,,,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White,,,
45-54,Government and Public Administration,Editor,,"96,357",0,USD,,,US,District of Columbia,"Washington, DC",31 - 40 years,21 - 30 years,Some college,Man,White,,,
35-44,Government and Public Administration,Leave Management Coordinator,,"48,609",NA,USD,,,United States,Minnesota,St. Paul,11 - 20 years,5-7 years,Master's degree,Woman,White,,,
25-34,Education (Higher Education),Business systems analyst,,"70,400",0,USD,,,United states,Pennsylvania,Philadelphia,5-7 years,2 - 4 years,Master's degree,Non-binary,White,,,
25-34,Nonprofits,Resources Coordinator,,"60,000",NA,USD,,,United States,North Carolina,"Remote, North Carolina",5-7 years,2 - 4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White",,,
25-34,Computing or Tech,Senior Network Analyst,NOC Analyst,"62,000",0,USD,,,United States,Ohio,Columbus,5-7 years,5-7 years,College degree,Woman,White,,,
35-44,Computing or Tech,Business Analyst III,,"75,000",1000,USD,,,United States,Florida,Jacksonville,11 - 20 years,2 - 4 years,Master's degree,Woman,White,,,
25-34,Computing or Tech,Senior Software Engineer,,"135,000",50000,USD,,"RSUs in addl question are variable but based on current stock price, 50k",USA,Colorado,Denver,8 - 10 years,5-7 years,College degree,Woman,White,,,
55-64,Computing or Tech,Engineering Manager,,"201,000",40000,USD,,,United States,Pennsylvania,Pittsburgh,31 - 40 years,31 - 40 years,College degree,Woman,White,,,
45-54,Computing or Tech,Systems Administrator,,"91,000",0,USD,,,USA,North Carolina,Raleigh,21 - 30 years,21 - 30 years,College degree,Man,White,,,
35-44,Education (Higher Education),Applications Administrator,Programmer/Linux Admin/Library IT,"74,500",0,USD,,,USA,Virginia,Williamsburg,21 - 30 years,21 - 30 years,Some college,Man,White,,,
35-44,Computing or Tech,NOC Engineer,"Level 1 / 2 help desk for MSP, Sysadmin, light network engineer",43000,4000,USD,,43k / year + quarterly 1k bonus,USA,Ohio,Toledo,21 - 30 years,8 - 10 years,Some college,Man,White,,,
45-54,Entertainment,Musician,,"42,000",0,USD,,,United States,Ohio,Cleveland,21 - 30 years,21 - 30 years,Some college,Man,White,,,
25-34,Sales,Senior Account Executive,Inbound Sales team,"67,000",4000,USD,,,United States,Illinois,Chicago,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
35-44,Health care,Research Scientist I,,110000,52000,USD,,,United States,Massachusetts,Boston ,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
35-44,Education (Higher Education),Associate Professor,,53000,0,USD,,,USA,Washington,Lacey,11 - 20 years,11 - 20 years,PhD,Woman,White,,,
25-34,Social Work,Team Leader,,"48,300",500,USD,,,United States,Indiana,Indianapolis,2 - 4 years,2 - 4 years,College degree,Man,White,,,
25-34,Education (Higher Education),Post Doctoral Research Associate ,"Private institution, R1, NCI funded","53,000",0,USD,,,United States,Ohio,Columbus,2 - 4 years,2 - 4 years,PhD,Woman,White,,,
25-34,Social Work,Therapist,LCSW and Registered Play Therapist at a group private practice ,"72,000",0,USD,,,USA,Virginia,Richmond,8 - 10 years,2 - 4 years,Master's degree,Woman,White,,,
45-54,Business or Consulting,Content Writer,,125000,NA,USD,,,US,Oregon,Silverton,21 - 30 years,21 - 30 years,Master's degree,Woman,White,,,
35-44,Computing or Tech,Managing Director ,,"123,000",NA,GBP,,,United Kingdom,,Bristol,21 - 30 years,21 - 30 years,College degree,Man,White,,,
25-34,Nonprofits,Administrative Assistant,,"41,250",NA,USD,,,United States,Pennsylvania,Philadelphia,5-7 years,5-7 years,Master's degree,Non-binary,White,,,
25-34,Health care,Certified Pharmacy Technician,Retail Pharmacy Technician,"40,000",0,USD,,,United States,California,"Santa Ana, CA",8 - 10 years,5-7 years,Some college,Man,White,,,
35-44,Insurance,SeniorActuary,,240000,84000,USD,,,USA,New York,New York,11 - 20 years,11 - 20 years,College degree,Man,"Asian or Asian American, White",,,
25-34,Computing or Tech,Associate Analytics Engineer,"dbt, Python, SQL, airflow, data pipelines","85,000",0,USD,,,United States,California,Carlsbad,5-7 years,1 year or less,Master's degree,Man,Another option not listed here or prefer not to answer,,,
35-44,Law,assistant district attorney,,"85,000",NA,USD,,,USA,Pennsylvania,Philadelphia,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
35-44,Education (Higher Education),Faculty,,"100,000",35000,CAD,,,Canada,,Vancouver ,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
25-34,Computing or Tech,IT Project Manager,,"51,600",NA,EUR,,,Germany,,Munich,5-7 years,1 year or less,College degree,Woman,White,,,
25-34,"Accounting, Banking & Finance",Sr. Financial Analyst,,"74,000",10000,USD,,,USA,Wisconsin,Kenosha,2 - 4 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer,,,
25-34,Retail,Assistant Center Store Manager,"Help manage grocery, dairy, and frozen departments in a grocery store","36,000",0,USD,,,United States,Minnesota,St. Cloud,5-7 years,5-7 years,College degree,Woman,White,,,
25-34,Engineering or Manufacturing,Scientist,,"150,000",20000,USD,,,U.S.,California,San Francisco,5-7 years,5-7 years,PhD,Woman,Asian or Asian American,,,
25-34,Education (Higher Education),Assistant Professor,Humanities,"67,000",NA,USD,,,US,Georgia,Athens,8 - 10 years,8 - 10 years,PhD,Man,White,,,
25-34,Education (Primary/Secondary),6th and 7th Grade Math Teacher,,38000,0,USD,,,United States,Ohio,Columbus,5-7 years,5-7 years,College degree,Woman,White,,,
25-34,Media & Digital,Director,,"160,000",20000,USD,,,United States,New York,New York,8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American,,,
25-34,Education (Higher Education),Research Associate,,"69,000",0,USD,,,USA,Colorado,Golden,5-7 years,1 year or less,PhD,Woman,"Hispanic, Latino, or Spanish origin, White",,,
55-64,Law,Attorney,Partner,"220,000",280000,USD,,"The bonus amount depends entirely on firm profits, could be 0 but likely could be more than I put, $280000 was the lowest it’s been",US,New York,New York,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
25-34,Art & Design,Executive Assistant,,"72,500",7000,USD,,,USA,New York,New York,5-7 years,5-7 years,College degree,Woman,"Asian or Asian American, Black or African American, White",,,
25-34,Book Publishing,Senior Publicist,,59000,5000,USD,,,USA,New York,New York City,5-7 years,5-7 years,College degree,Woman,White,,,
35-44,Computing or Tech,Senior Database Engineer,,"110,000",0,USD,,,United States,,(Anonymous),11 - 20 years,11 - 20 years,College degree,Other or prefer not to answer,White,,,
25-34,Sales,Customer Success Manager,,110000,11000,USD,,,USA,California,San Francisco ,2 - 4 years,2 - 4 years,College degree,Man,Black or African American,,,
25-34,,Archivist,,25740,0,USD,,,The United States,Washington,Seattle,5-7 years,5-7 years,College degree,Woman,White,,,
35-44,Energy,Commercial Engineer,,"88,000",NA,EUR,,,Germany,,Ingolstadt,11 - 20 years,5-7 years,,Man,White,,,
18-24,Academic/nonprofit research,Database Specialist,,"37,440",0,USD,,"I work part-time, $18/hour",USA,Massachusetts,"NA (remote). Live near Boston, work is based in upstate NY",1 year or less,1 year or less,College degree,Woman,White,,,
25-34,Health care,Office Manager,,56000,0,USD,,,USA,New York,Long Beach,5-7 years,2 - 4 years,College degree,Woman,White,,,
25-34,Government and Public Administration,Postdoc,,"66,000",NA,USD,,,United States,Maryland,Rockville,2 - 4 years,2 - 4 years,PhD,Woman,White,,,
35-44,Education (Higher Education),Archivist,,"40,000",NA,USD,,,United States,Indiana,Anderson,8 - 10 years,5-7 years,Master's degree,Man,White,,,
35-44,Entertainment,HR Director,,"175,000",25000,USD,,,United States,California,Los Angeles,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Other or prefer not to answer,Another option not listed here or prefer not to answer,,,
,,,,,NA,,,,,,,,,,,,,,
25-34,Law,Trainee solicitor,,"50,000",NA,GBP,,,UK,,London,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
18-24,Engineering or Manufacturing,Associate Mechanical Engineer,,69000,0,USD,,,USA,Kentucky,Lexington,1 year or less,1 year or less,Master's degree,Man,White,,,
25-34,Nonprofits,Communications Coordinator,,"48,000",0,USD,,,USA,Minnesota,Minneapolis,5-7 years,5-7 years,College degree,Woman,White,,,
