age,industry,title,context,salary,benefits,currency,currency-other,income_context,country,us_state,city,exp_total,exp_field,education,gender,race,,,
45-54,Education (Higher Education),Research Coordinator,,"87,197",NA,AUD/NZD,,I also get 17.5% superannuation on top of salary,Australia,,Melbourne,21 - 30 years,2 - 4 years,Some college,Man,White,,,
25-34,"Marketing, Advertising & PR",Marketing Strategy Manager,In commercial real estate industry,"61,000",4000,USD,,,United States,Massachusetts,"Needham, MA",11 - 20 years,5-7 years,Some college,Woman,White,,,
55-64,"Accounting, Banking & Finance",Tax Manager,,"90,000",0,USD,,,USA,Colorado,Louisville,5-7 years,8 - 10 years,College degree,Woman,White,,,
25-34,Computing or Tech,Digital Designer,,"90,000",NA,USD,,,USA,New York,New York,8 - 10 years,5-7 years,College degree,Woman,White,,,
35-44,Nonprofits,"Director, Learning & Development",,"90,000",0,USD,,,United States,Texas,Houston,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
45-54,Entertainment,Payroll Accountant,,"145,600",20000,USD,,I get additional money if I am working on location - approximately 500 per week,USA,California,"Los Angeles, or I travel for work",31 - 40 years,21 - 30 years,College degree,Woman,White,,,
25-34,Education (Higher Education),Library Events and External Relations Assistant,,"48,929",NA,USD,,,USA,California,Orange,2 - 4 years,2 - 4 years,PhD,Woman,White,,,
25-34,Engineering or Manufacturing,Bioprocess Engineer,,"81,291",4300,USD,,,United States,New York,"Rochester, NY",2 - 4 years,2 - 4 years,Master's degree,Woman,White,,,
35-44,Engineering or Manufacturing,Manager Assistant,,"22,400",600,EUR,,,Greece,,Thessaloniki,21 - 30 years,21 - 30 years,Master's degree,Woman,White,,,
35-44,Recruitment or HR,HR Manager,,"75,000",0,USD,,,USA,New Hampshire,Manchester,8 - 10 years,5-7 years,Master's degree,Woman,White,,,
35-44,Government and Public Administration,Senior Communication Specialist,,75000,0,USD,,,United States,Oregon,Hillsboro,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
25-34,Engineering or Manufacturing,Graphic Designer,,44500,NA,USD,,,United States,Illinois,Lake Forest,8 - 10 years,8 - 10 years,College degree,Woman,White,,,
35-44,Insurance,Underwriting assistant,,"20,300",0,GBP,,,UK,,Nottingham,11 - 20 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer,,,
25-34,Health care,Patient coordinator/office manager ,,65000,5000,USD,,,United States,California,Beverly Hills ,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
25-34,Media & Digital,Digital Strategy Manager,,65000,0,USD,,,USA ,Texas,Austin,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
35-44,Media & Digital,Senior Draughtsperson,Film Art Department,83200,500,GBP,,"Weekly income 1600, working contracts, no pay between contracts, no paid holiday",uk,,London,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
25-34,Engineering or Manufacturing,Mechanical Engineer,,77300,NA,USD,,,United States,Kentucky,Erlanger,2 - 4 years,2 - 4 years,Master's degree,Woman,Asian or Asian American,,,
25-34,clinical research,associate project leader,,"89,000",0,USD,,"Contract/hourly rate, no pto",usa,North Carolina,Durham,8 - 10 years,8 - 10 years,Master's degree,Woman,White,,,
18-24,Computing or Tech,Software Engineer,,"135,000",75000,USD,,,USA,California,Mountain View,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,,,
45-54,Government and Public Administration,Director,,"100,300",0,USD,,,US,Tennessee,Knoxville,21 - 30 years,11 - 20 years,College degree,Woman,White,,,
35-44,Computing or Tech,Product Marketing Lead,,"130,000",10000,USD,,,United States,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
